is_info_useful,missing_info,improvements,date,institution_cat,missing_info_en,improvements_en
0,no dan informacion del portal de captura o si ya lo quitaron,mas informacion para la captura de trabajadores en el portal,29,747,do not give information about the capture portal or if they have already removed it,more information for the capture of workers in the portal
0,"no encontre donde hacer la cita para mi pasaporte por via internet. el año pasado lo hize via internet y fue muy facil. 
ahora no hay ninguna enlace que me lleve a esa opcion.","que haya una opcion donde pueda entrar para hacer mi cita en internet.
mi correo es deisynajeracancun@gmail.com, me pueden escribir para mostrarme la opcion para hacer mi cita via internet, por favor.",29,722,I could not find where to make the appointment for my passport online. last year I did it via internet and it was very easy. Now there is no link that takes me to that option.,"that there is an option where I can enter to make my appointment on the internet. my email is deisynajeracancun@gmail.com, you can write to show me the option to make my appointment via internet, please."
0,no tienen el acceso a citas por internet. el lapso entre el momento en que se pide una cita por telefono y la fecha asignada es muy largo. resulta increible que el sistema funcione peor que antes. ¡muy mal!,¡vuelvan a poner las citas por internet!,29,723,They do not have access to online dating. the time between the moment an appointment is made by phone and the assigned date is very long. It is incredible that the system works worse than before. very bad!,Put dating online again!
1,,agendar la cita ´por internet como se hacia.,29,177,,Schedule the appointment online as it was done.
1,el procedimiento de registro de marca en linea,agregar la informacion sobre el registro de marca en linea,29,105,the online trademark registration procedure,add information about trademark registration online
0,"con todo respeto pero a la sria. ruiz massieu pero esta pagina y todo su contenido es una astilla en el culo debido a lo complicado que es tener una cita por internet, y si esta inhabilitado entonces desactivan todas las ligas del coño y no hagan perder tiempo... antes era mucho mas sencillo ahora sacar un bendito pasaporte lo quieren hacer igual que una visa gringa","sean simples y si quieren ""mejorar"" su seguridad simplifiquenla y no la hagan una perdida de tiempo",29,659,"with all due respect but la sria. ruiz massieu but this page and all its content is a splinter in the ass due to how complicated it is to have a date on the internet, and if it is disabled then they deactivate all the leagues of the pussy and do not waste time ... before it was much more simple now get a blessed passport they want to do it like a gringo visa","be simple and if you want to ""improve"" your security simplify it and do not waste it"
1,el tiempo que duran en liberarlas,durar menos tiempo en liberar cartillas,29,469,the time they take to release them,last less time to release primers
1,formato de pago de pasaporte en pagina de internet,"poder imprimir el formato para pago de pasaporte y poder llenarlo en casa y acudir al banco a pagar.
se me hace una falta de sentido comun que no se pueda acceder a el en la pagina",29,659,passport payment format on the website,be able to print the passport payment form and be able to fill it out at home and go to the bank to pay. It makes me lack common sense that it cannot be accessed on the page
1,,quiero pagar mi pasaporte como le ago,29,741,,I want to pay my passport as I did
1,pues yo no puedo tramitar mi cartilla por que soy de san luis potosi y vivo en queretaro. y aqui en queretaro solo me dicen que la tengo que tramitar en mi estado y pues yo solo naci aya pero tengo toda mi vida en queretaro. ai como le podria aser,solo que se pueda aser el tramite donde vives y no donde naciste,29,469,"Well, I can't process my card because I'm from San Luis Potosi and I live in Queretaro. And here in Queretaro they just tell me that I have to process it in my state and well, I was only born there but I have my whole life in Queretaro. How could that be?",only that the process can be done where you live and not where you were born
1,,"habilitar un servicio de envio entre cuarteles militares, ya que hay personas que no podemos realizar un viaje extenso hasta el municipio en el que nacimos.",29,469,,"enable a delivery service between military barracks, since there are people who cannot make an extensive trip to the municipality in which we were born."
1,,abriendo el link para agendar la cita por este medio electrð“ñ–nico y no solo por el 018008010773.,40,723,,opening the link to schedule the appointment by this electronic means ñ-nico and not only by 018008010773.
0,saber en donde esta localizada y conocer bien las bases de como obtener el credito,mas informacion,40,303,know where it is located and know the basics of how to obtain credit,more information
1,"no queda clara cuando uno paga si al principio o cuando uno pueda conseguir cita, sin embargo y en la lð“ñ–gica e sal principio sino uno no puede llenar la solicitud.
sugiero se quite esa leyenda de ir a cita con al menos  7 dð“â­as antes de hacer el pago ya que en dos meses no tengo cita.
llevo desde el 4 de enero tratando de conseguir cita y es imposible ya hasta cambio el monto.","sugiero se quite esa leyenda de ir a cita con al menos  7 dð“â­as antes de hacer el pago ya que en dos meses no tengo cita.
llevo desde el 4 de enero tratando de conseguir cita y es imposible ya hasta cambio el monto.
ampliar el calendario de citas, dos meses no es suficiente.
tener un telefono donde contesten.
tener atencið“ñ–n en ventanilla como opcið“ñ–n, prefiero perder un dð“â­a en el tramite que dos meses que no he podido realizarlo.",40,600,"it is not clear when one pays if at the beginning or when one can get an appointment, however and in the lð “ñ – gica e sal principle but one cannot fill out the application. I suggest removing this legend of going on a date with at least 7 dð “âas before making the payment since in two months I do not have an appointment. I have been trying to get an appointment since January 4 and it is impossible to change the amount.","I suggest removing this legend of going on a date with at least 7 dð “âas before making the payment since in two months I do not have an appointment. I have been trying to get an appointment since January 4 and it is impossible to change the amount. expanding the appointment calendar, two months is not enough. have a phone where they answer. pay attention at the window as an option, I prefer to lose a day in the process than two months that I could not do it."
0,"en el caso de querer realizar un cambio de lugar de trabajo, que documentos se necesitan presentar a parte de los de arriba mencionados ?
tambien se podria incluir si se exceden esos 90 dias naturales, que tipo de multa o que puede llegar a pasar.

gracias",falta informaciгіn respecto al cambio de lugar de trabajo.,40,225,"In the case of wanting to make a change of workplace, what documents do you need to present apart from those mentioned above? It could also include if those 90 calendar days are exceeded, what type of fine or what may happen.  Thank you",Information is missing regarding the change of workplace.
1,вїpor quг© no abren mгўs meses para agendar una cita? en estos momentos la pгўgina no sirve.,"la pгўgina de citas, no propicien la corrupciгіn.",40,600,Why don't they open more months to schedule an appointment? At the moment the page does not work.,"the dating page, do not encourage corruption."
0,ser especð“â­ficos en el tiempo que lleva el tramite,"definitivamente deberian de desahogar las citas,  si este proceso es nacional, por que no hacer dias extras para que no hay tanto diferimiento.  o de otra forma que se desconcentre este tramite en cada estado.",40,598,be specific in the time it takes to process,"Definitely they should vent the appointments, if this process is national, why not make extra days so that there is not so much deferral. or in another way that this process is deconcentrated in each state."
0,la solicitud de pre inscripciгіn,poner la solicitud,40,0,the pre-registration application,put the request
0,"no encuentro ninguna liga para hacer mi cita. ademas revuelven todo, todo. demasiado complicado algo que pudiera ser tan sencillo. imagine una persona que no sabe de computacion mucho peor. tacha para su sistema.","todo el sistema. hagan mas sencillas las cosas, sin tantos rodeos. se quieren lucir y no sirve para nada. duele la cabeza de tanto buscar y buscar.",40,742,"I can't find any league to make my appointment. also stir everything, everything. too complicated something that could be so simple. Imagine a person who doesn't know much worse about computing. cross out for your system.","the whole system. make things easier, without so many detours. they want to show off and it is useless. His head hurts from searching and searching."
0,"como esperan que haga el tramite, y el hecho de que la hagan presencial es simplemente ridiculo, el costo de mi voleto para ir de sydney a camberra es de aproximadamente 400 dlls.

asi que el costo de la visa, seria de 436 dlls, lo cual es simplemente excesivo.

falta la informacion de que proceso se debe seguir y los documentos necesarios.

ayuda por favor.

contreraslicea@msn.com","ayuda e informacion necesaria para la realizacion de los tramites.

contreraslicea@msn.com",40,712,"As they expect me to do the paperwork, and the fact that they do it in person is simply ridiculous, the cost of my ticket to go from Sydney to Canberra is approximately 400 dollars.  So the cost of the visa would be 436 dollars, which is simply excessive.  The information on the process to be followed and the necessary documents are missing.  please help.  contreraslicea@msn.com",help and information necessary to carry out the procedures.  contreraslicea@msn.com
0,"todo. estð“ðž horrible su pð“ðžgina, no da nada de informacið“ñ–n. antes era muy amigable y ð“ñ”til, ahora, me arriesgo a decirles que es casi inð“ñ”til.","todo. rapidez e informacið“ñ–n, no tiene nada. muy mal hecha.",41,722,"everything. ðž ðž is horrible his pð “ðžgina, does not give any information ð – ñ – n. Before it was very friendly and ð “ñ” til, now, I risk telling you that it is almost inð “ñ” til.","everything. speed and information “ñ – n, it has nothing. very poorly made."
1,falta decir los pasos a seguir una vez en territorio mexicano y al haber entrado con la visa permanente...,falta info,41,711,It remains to say the steps to follow once in Mexican territory and having entered with a permanent visa ...,lack info
0,como hacer cita para renovar pasaporte,casi todo,41,742,how to make an appointment to renew your passport,most
0,"poner ejemplos.
no aclara si en el texto de ""ð’ñ—tu hijo(a) tiene entre 4 o 5 að“â±os cumplidos al 31 de diciembre? ð’ðž"" un ejemplo de que 31 de diciembre del pasado o del que viene??","incluir una seccion de quejas, ya que en el caso de la escuela jose maria pino suarez de cuajimalpa, no permiten hablar con nadie y parece que los pases ya estan apalabrados. esto es totalmente injusto y solo hay en la entrada una seð“â±ora que mas que maestra parece que es la de intendencia. te hace ir todos los dias y no dan una respuesta convincente. yo pago mis impuestos y la gente que va a escuelas publicas no merecen este trato.",41,0,"put examples. it does not clarify whether in the text of ""ð'ñ — your child has between 4 or 5 years"" “completed on December 31? ð'ðž"" an example of December 31 of the past or coming ??","include a complaints section, since in the case of the jose maria pino suarez school in cuajimalpa, they do not allow anyone to speak and it seems that the passes are already spoken. this is totally unfair and there is only one lady at the entrance who, more than a teacher, seems to be the quartermaster. It makes you go every day and they don't give a convincing answer. I pay my taxes and people who go to public schools do not deserve this treatment."
1,,"en la liga http://inscripciones.jalisco.gob.mx/inscribe/ donde se supone se puede ver la  ubicacið“ñ–n de los planteles mas cercanos a mi colonia, no funciona, en mi caso quise ver los planteles de secundaria en puerto vallarta, le puse la colonia y lo que arroja es que un mensaje ""no se encontraron coincidencias"", no se puede ver nada. ojala lo mejoren ya que es informacion que se solicita para realizar la preincripcion me solicitan que ponga 5 planteles  y no puedo acceder a esta.",41,0,,"in the league http://inscriptions.jalisco.gob.mx/inscribe/ where it is supposed you can see the location “ñ – n of the schools closest to my neighborhood, it doesn't work, in my case I wanted to see the secondary schools In Puerto Vallarta, I put the colony on him and what he throws is that a message ""no matches were found"", nothing can be seen. Hopefully they improve it since it is information that is requested to pre-register, they ask me to put 5 schools and I cannot access it."
0,"que publiquen la informaciгіn para tod
os los estados no solo para el df",tener la inormacion a tiempo y completa,41,0,that they publish the information for everyone the states not only for the df,have the information on time and complete
0,denuncia a trevð“â©s de pð“ðžgina web,"buzð“ñ–n de denuncias anð“ñ–nimas como habð“â­a en gobiernos anteriores. no hay confianza en servidores pð“ñ”blicos, alto nivel de corrupcið“ñ–n.",41,307,denounces the trevð “â € s of pð“ ðžgina web,"buzð “ñ – n denounces anð“ ñ – nimas as habð “âa in previous governments. no trust in public pð “ñ” servers, high level of corruptionð “ñ – n."
1,"los formatos de pago, mayor claridad en la informacið“ñ–n, hablas por telð“â©fono y nadie te ayuda y te mandan a la delegacið“ñ–n y vas y te dicen que en el portal y yo he perdido mucho tiempo no encuentro los formatos y nadie me ayuda ñ€ñÿï¿½â€™ñ€ñÿï¿½â¤",encontrar de una manera mð“ðžs visible y accesible los formatos de pago y los que deben de firmar los padres cuando no pueden asistir,41,727,"the payment formats, more clarity in the information, you speak on the phone and no one helps you and they send you to the delegation and you go and they tell you that on the portal and I have wasted a lot of time I can't find the formats and nobody helps me ñ € ñÿï¿½â € ™ ñ € ñÿï¿½â¤",to find in a more visible and accessible way the payment formats and the ones that parents must sign when they cannot attend
1,no funciona la pestaг±a para seleccionar mi municipio,hacer que sirva la pestaг±a de selecciгіn de municipio (uso firefox),41,520,the tab does not work to select my municipality,make it serve the municipality selection tab (use firefox)
0,cð“ñ–mo agendar la cita a travð“â©s de internet para cada uno de los lugares que se muestran en el catð“ðžlogo de oficinas de la sre,"la navegacið“ñ–n del portal ya que hoy dð“â­a es confuso, considero que estaba mð“ðžs organizada la visita de la pð“ðžgina anterior",41,722,cð “ñ – mo to schedule the appointment through the internet for each one of the places shown in the sð catð“ ðžlogo of offices,"the navigation of the portal since today dð “âa is confusing, I consider that the visit of the previous pð“ ðžgina was organized mð “ðžs"
1,como agendar una cita por internet,hacer mas practica su pagina sin necesidad de buscar y rebuscar cosas basicas,41,722,how to schedule an appointment online,make your page more practical without having to search and search for basic things
1,"mas numeros telefonicos para que los ciudadanos puedan realizar este tramite, porque el telefono que proporcionan nunca responden, siempre esta ocupado y en ocasiones ni siquiera funciona. esto es un verdadero problema, me urge sacar el pasaporte, lo tengo pago desde el að“â±o pasado y es fecha que no he podido hacer la cita para realizar mi tramite. por favor de que forma puedo agendar la cita, es urgente!","falta informacion, deberian dar mas opciones para sacar la cita, hacer la cita directamente en las oficinas de sre o tambien la otra opcion que habia antes para sacarla desde internet era una manera mas rapida, organizada y segura. porque esto ultimo que estan haciendo con solo un numero para todo el pais, es un verdadero problema, uno nunca se puede comunicar y por lo tanto la cita no se puede sacar.",41,722,"More phone numbers for citizens to carry out this procedure, because the phone they provide never answers, it is always busy and sometimes it does not even work. This is a real problem, I urgently need to get my passport, I have it paid from last year and it is a date that I could not make the appointment to carry out my paperwork. Please, how can I schedule the appointment, it is urgent!","information is missing, they should give more options to get the appointment, make the appointment directly in the offices of sre or also the other option that was before to get it from the internet was a faster, more organized and secure way. Because this last thing they are doing with only one number for the whole country, is a real problem, one can never communicate and therefore the appointment cannot be taken."
0,la liga para el formato de actualizacið“ñ–n de constancia de empleador,incluir la liga para el formato de actualizacið“ñ–n de constancia de empleador,41,210,the link for the employer's certificate update form,include the link for the employer's certificate update form
0,"quð“â€° hacer ante:
1.- la oficina de sre en la torre chiapas de la capital chiapaneca se reduce a dos personas que entregan un trð“ðœptico y me indicaron un 018008010773 en el que nunca contestan y:
2.- en esta pð“ðƒgina ð’ðžno puedo acceder a una cita! ya la recorrð“ðœ por todos lados y parece una broma de mal gusto de los recepcionistas en la torre chiapas","ð’ðžtodo! dennos respeto, por favor",41,722,what to do before: 1.- the sre office in the chiapas tower of the chiapaneca capital is reduced to two people who deliver a trð “ðœptico and they indicated a 018008010773 in which they never answer and: 2.- in this pð “ðƒgina ð’ðž I cannot access an appointment! I already toured it everywhere and it seems like a bad joke by the receptionists in the Chiapas tower,ð’ðž everything! give us respect please
0,"dirigirte al tramite que haras estoy tratando de hacer una cita y no encuentro la forma como hacerlo por este medio , siendo el telefono la forma mas rapida para hacer citas. cual es el caso de las opciones si al final la unica forma es por telefono un poco tonto.mi punto de vista.",todo,41,723,"Going to the procedure that you will do, I am trying to make an appointment and I cannot find the way to do it here, the phone being the fastest way to make appointments. which is the case of the options if in the end the only way is by phone a bit silly. my point of view.",everything
0,"un apartado donde se puedan realizar citas para pasaporte , asi como actualizacið“ñ–n de informacið“ñ–n, los telð“â©fono que proporcionan no funcionan y los horarios de atencið“ñ–n no son los correctos. favor de hacer mas ð“ðžgil la tramite  del pasaporte.",en tener la informacið“ñ–n mas actualizada y atender siempre  a la ciudadanð“â­a ya que es su trabajo el tener en orden la pagina de la secretaria de relaciones exteriores.,41,741,"a section where you can make appointments for your passport, as well as updating information “ñ – n”, the phones they provide do not work and the hours of service are not correct. Please do more ð “ðžgil the passport process.","to have the most up-to-date information and always attend to citizens, since it is their job to keep the page of the secretary of foreign affairs in order."
0,,"reinstalando la aplicaciгіn de citas por internet y poniendo mгўs lг­neas disponibles para trгўmite de citas.
es ridг­culo el tiempo necesario para comunicarse.",41,659,,Reinstalling the online dating application and making more lines available for dating procedures. the time necessary to communicate is ridiculous.
0,"en el centro de enlace me prohibieron hacer mi tramite por algo que no venia descrito en la credencial para votar del ine, una fecha que no supieron explicar ellos mismos, aun estando recientemente renovada.",ser mas claros,41,722,"In the liaison center they prohibited me from doing my paperwork for something that was not described in the ine voting card, a date that they could not explain themselves, even though it was recently renewed.",be clearer
0,poder hacer la cita desde el sitio . pues no sirven las opciones de escojð“â©r municipio y no avanza mas la pagina... tambið“â©n que se dignen contestar el telð“â©fono para hacer la cita.,ser eficientes,41,722,to be able to make the appointment from the site. because the options of choosing the municipality are not useful and the page does not advance any more ... also that they deign to answer the phone to make the appointment.,be efficient
0,directirces para consulta,informacion que se debe utilizar para consulta,41,750,directives for consultation,information to be used for consultation
1,donde poner quejas,las carreteras de limite de axochiapan morelos a la ciudad de i de matamoros esta fea asta la madre ya casi es terraceria,41,11,where to put complaints,the limit roads from axochiapan morelos to the city of i of matamoros this ugly antler the mother is almost a dirt road
1,si se pude usar una copia certificada del acta de matrimonio,decir como se paga la aplicaciгіn y donde tambiг©n un telг©fono para preguntar informacion,41,200,if a certified copy of the marriage certificate could be used,say how the application is paid and where also a phone to ask for information
1,"no se da una definicið“ñ–n de discapacidad, me parece discriminatorio tener tarifas diferenciadas por discapacidad, todos somos mexicanos y todos tenemos algð“ñ”n grado de discapacidad, me queda claro que los funcionarios de gobierno siempre tendrð“ðžn el descuento por su discapacidad intelectual","en ser sensibles con la poblacið“ñ–n y no discriminar para bien o para mal, de acuerdo con la constitucið“ñ–n, todos somos iguales ante la ley.
espero respuesta: donsantin72@gmail.com",41,726,"there is no definition of disability, it seems discriminatory to me to have differentiated rates for disability, we are all Mexican and we all have some degree of disability, it is clear to me that government officials will always have the discount for his intellectual disability","in being sensitive to the population “ñ – n and not discriminating for better or for worse, according to the Constitution“ ñ – n, we are all equal before the law. I wait for an answer: donsantin72@gmail.com"
1,la liga para formato de pago sea mas visible y la solicitud igual,en los documentos poner ligas para descargar o llenar los requisitos de solicitud,41,598,the link for payment format is more visible and the request is the same,in the documents put links to download or fill the application requirements
1,,permitir hacer las citas nuevamente por internet,41,723,,allow to make appointments again online
1,,"el sistema anterior de programacið“ñ–n de citas era mucho mð“ðžs amigable, ya que daba la opcið“ñ–n de agendar cita por medio de internet...",41,722,,"the previous scheduling system for appointments was much more friendly, since it gave the option of scheduling appointments through the internet ..."
1,,"ampliar el horario de servicio, por que razð“ñ–n trabajan solo hasta las 3 pm? que privilegio tienen los burð“ñ–cratas?",41,729,,"extend the hours of service, why razð “ñ – n work only until 3 pm? What privilege do the burð “ñ – cratas have?"
0,dan muchas vueltas para que podamos sacar cita  del pasaporte. si apenas nos habiamos adaptado al anterior formato y nos lo cambien,hagan bien las cosas,41,722,They go around a lot so that we can get an appointment from the passport. if we had hardly adapted to the previous format and they changed it,do things right
0,,esta horrible su servicio de la pð“ðžgina para hacer citas y horrible poder comunicarse a la lð“â­nea,41,723,,their service from the pð “ðžgina to make appointments is horrible and horrible to be able to communicate to the lð“ ânea
0,que deberг­an dar visas a sobrinos del residente,"ampliar la autorizacion de visas, para el residente.",41,224,they should give visas to the resident's nephews,extend the visa authorization for the resident.
0,"pð“â©sima pagina, no sirve; parece laberinto, pð“â©simo servidor, no estð“ðžn disponibles las cedes, los telð“â©fonos, muy estrictos para sus citas y cambios pero su pagina es muy deficiente al igual que call center, no es posible que sea el ð“ñ”nico medio para tramitar un pasaporte.","su servidor, actualizando y haciendo ams concreta la informacið“ñ–n. de por si los mexicanos no leemos y con la enredadera de informacið“ñ–n no se entiende nada.",41,722,"pð “â © nth page, it doesn't work; It seems labyrinth, pð ""â © simo servant, the cedes are not available, the telð"" â © phones, very strict for their appointments and changes but their page is very deficient as well as call center, it is not possible that it is the ð ""ñ"" the only way to process a passport.","your server, updating and making the information more specific “ñ – n. In case we Mexicans do not read and with the vine of information “ñ – n nothing is understood."
0,lo mas importante como inscrbir a mishijos,sea mas amigable,41,0,the most important thing how to register mishijos,be more friendly
0,"como inscribo a mi hijo si en la bð“ñ”squeda no me carga la informacið“ñ–n que necesito y al marcar el numerð“ñ– de informes no contesta nadie, creo que deberð“â­an trabajar en todas estas cuestiones porque parece que la secretaria de educacið“ñ–n publica y el gobierno de la ciudad de mð“â©xico no sirven para nada",no se si puedan mejorar pero deberð“â­an hacerlo ineptos,41,0,"How do I register my son if in the search “ñ” search does not load the information ð ñ – n that I need and when dialing the number ð ñ of reports no one answers, I think it should ð ı work on all these questions because it seems that the public education secretary and the city government of mð “â © xico are useless","I don't know if they can improve, but they should be inept"
1,telefono a donde comunicarse? si se tiene que hacer cita? o solo llegar y agarrar ficha? los horarios.,incluyan la informacion que falta.,41,723,phone where to communicate? if you have to make an appointment? or just reach out and grab a tab? the schedules.,include the missing information.
0,donde sacar citas para pasaporte,mayor calidad ser mas claros,42,741,where to get passport appointments,higher quality be clearer
0,"poder agendar las citas por medio de internet como era antes, el sistema telefonico es pecimo y siempre esta fuera de servicio, nefasto el sistema que quieren implementar",el servicio de citas por internet es la mejor opcion,42,722,"to be able to schedule appointments through the internet as it was before, the telephone system is pecimo and it is always out of service, nefarious the system they want to implement",internet dating service is the best option
1,"mejorar los tramites via internet, no se encuentran y no me da acesso al copiar la direccið“ñ–n http","mejorar las citas via internet o telð“â©fono como uno decida, muchas gracias",42,728,"improve the procedures via internet, they are not found and it does not give me access to copy the address “ñ – n http","improve dating via the internet or phone as one decides, thank you very much"
1,,tener oficinas en las cabeceras municipales ya q por ejemplo en jalisco todos los trð“ðžmites son en guadalajara y eso implica muchos gastos por la vueltas,42,683,,have offices in the municipal capitals and for example in jalisco all the trð “ðžmites are in guadalajara and that implies many expenses for the turns
1,"ð’ñ—puedo prestar mi servicio militar en una zona militar?
ð’ñ—en cuanto tiempo tendria mi cartilla militar?",que colocacen las diferentes tipos de zonas militares a las cuales se pueden prestar el servicio,42,697,ð’ñ — can I perform my military service in a military zone? ð’ñ — How long would I have my military card?,that place the different types of military zones to which the service can be provided
0,"el telefono de 1800 801 0773  siendo el unico numero, siempre esta ocupado, y cuando por fin me contesta la espera es de mas de 5 minutos, y cuando ya por fin alguien te habla, se corta la llamada y hay que volver a iniciar el proceso.
se necesita mucho tiempo y paciencia. 
por favor hagan algo con sus lineas",que la linea no se corte me paso ya 3 veces,42,723,"the telephone number 1800 801 0773 being the only number, it is always busy, and when the answer is finally answered, the wait is more than 5 minutes, and when someone finally talks to you, the call is cut off and you have to start the process. It takes a lot of time and patience. please do something with your lines",that the line is not cut it happened to me 3 times
0,numeros de telefono,"sugerir a las dependencias e a cualquier otra persona que al momento de hacer cualquier actividad, ahi que checar el dejar bien las informaciones de contacto por que habemos muchos que dependemos de este medio no podamos informarnos como queremos, solo eso, de antemano gracias, hasta pronto! ;)",42,722,Telephone numbers,"suggest to the agencies and to any other person that at the time of doing any activity, so check that you leave the contact information well because there are many of us who depend on this medium, we can not inform ourselves as we want, only that, thanks in advance, see you soon ! ;)"
1,,que su pagina sea mas eficiente y que su portal funcione ya que se ingresa para hacer una cuenta pero al final hay problemas con su pagina... y terminas llamando al call center.... pero debes esperar al menos 5 min para que alguien te conteste.,42,722,,that your page is more efficient and that your portal works since you enter to make an account but in the end there are problems with your page ... and you end up calling the call center .... but you must wait at least 5 min for someone I answered you.
1,,"la pagina de internet de la embajada de mexico en cuba, no sirve estuve desde el mes de noviembre que viaje a cuba hasta la fecha tratando de entrar a la pagina para solicitar una cita y jamas pude, tuve que hablar a la sre en la ciudad de mexico para que me dieran otra manera para entrar y solo asi pude entrar y me encuentro con que no hay citas hasta el mes de junio, lo que se me hace un falta de respeto, porque he perdido 3 meses tratando de solicitar una cita en un pagina que esta caduca o no sirve porque jamas pude hacer la cita, y ahora tengo que esperar otros 3 meses para poder hacerla, esa es mi opinion",42,705,,"the website of the embassy of mexico in cuba, it has not been useful i have been traveling to cuba until the month of november to date trying to enter the page to request an appointment and i never could, i had to speak to the sre in the city from Mexico so that they would give me another way to enter and only then could I enter and I find that there are no appointments until the month of June, which makes me disrespectful, because I lost 3 months trying to request an appointment in A page that is expired or not useful because I could never make the appointment, and now I have to wait another 3 months to make it, that's my opinion"
0,toda al informacion donde esta el link para agendar la cita,todo,42,722,all the information where is the link to schedule the appointment,everything
1,falta decir que el acta y copias del acta de matrimonio debe ser de menos de un ano de antiguedad.,actualizar la pagina de informacion y de requisitos  cada vez que haya cambios y/ o modificaciones.,42,200,It goes without saying that the certificate and copies of the marriage certificate must be less than one year old.,update the information and requirements page every time there are changes and / or modifications.
1,"ð’ñ—cuð“ðžnto tiempo dura el pago que se realiza?
ð’ñ—cuð“ðžndo abren el periodo de las demð“ðžs citas?
la pð“ðžgina es muy obsoleta en cuanto a actualizaciones","colocar mas informacið“ñ–n.
que los links a otras paginas no te saquen del sistema",42,598,ð’ñ — cuð “ðžnto how long does the payment take? ð’ñ — cuð “ðžndo open the period of the other appointments? the pð “ðžgina is very outdated in terms of updates,"put more information ""ñ – n. that the links to other pages do not remove you from the system"
1,una liga para solicitar una cita por internet,"la atencið“ñ–n del servicio de citas por telð“â©fono, regularmente todas las lineas estð“ðžn ocupadas",42,722,a link to request an appointment online,"the attention of the dating service by phone, ""regularly all the lines are busy"""
1,poder realizar la cita en lð“â­nea,agregar la opcið“ñ–n de sacar la cita en lð“â­nea,42,723,to make the appointment in lð “ânea,add the option “ñ – n to make an appointment in lð“ ânea
0,cгіmo hacer cita por internet,la pagina web,42,722,how to make an appointment online,the website
1,,poner el link a la pð“ðžgina donde se puede llenar el formato. es muy difð“â­cil encontrarlo!!,42,210,,put the link to the page where you can fill out the form. it is very difficult to find it!
1,"la calidad de la programacion del sitio, desafortunadamente es imposible realizer un tramite sencillo aun cuando se intent hacerlo siguiendo las instrucciones dadas al pie de la letra.","la calidad de la programacion del sitio, desafortunadamente es imposible realizer un tramite sencillo aun cuando se intent hacerlo siguiendo las instrucciones dadas al pie de la letra.",42,435,"the quality of the programming of the site, unfortunately it is impossible to carry out a simple procedure even when an attempt was made to follow the instructions given to the letter.","the quality of the programming of the site, unfortunately it is impossible to carry out a simple procedure even when an attempt was made to follow the instructions given to the letter."
0,#telefð“ñ–nico,todo,42,748,"# Telefð ""N-nico",everything
0,si el link para sacar cita,como saco una cita no estгў la pagг­na,42,723,if the link to make an appointment,How do I make an appointment the page is not
0,"poder hacer la cita por internet, el telð“â©fono 018008010773 siempre estð“ðž ocupado, no entra la llamada.",contestar los telð“â©fonos,42,729,"to be able to make the appointment by internet, the phone ð © phone 018008010773 is always ð busy, the call does not come in.",answer the telð “â © phones
0,"el numero de telð“â©fono no existe, y no se puede agendar una cita por internet.....",ponerse al corriente y las seð“â±oras que dan la informacið“ñ–n estar enteradas de estas fallas graves,42,729,"the phone number does not exist, and an appointment cannot be scheduled online .....",catch up and the ladies who give the information to be aware of these serious flaws
0,"citas por internet, donde se pueden realizar ??","citas por internet, donde se pueden realizar ??",42,722,"Internet appointments, where can they be done?","Internet appointments, where can they be done?"
1,una pagina mгўs especг­fica para tramitar el pasaporte mexicano sin tanta documentaciгіn como lo fue hasta el 2015 en cada estado de la repгєblica.,tanta burocracia para hacer un trгўmite que deberг­a ser gratuito. me refiero a lo que se paga por la obtenciгіn del pasaporte.,42,733,a more specific page to process the Mexican passport without as much documentation as it was until 2015 in each state of the republic.,So much bureaucracy to do a procedure that should be free. I mean what is paid for obtaining the passport.
1,poder hacer las citas en linea,poder hacer las citas en linea,42,723,to be able to make appointments online,to be able to make appointments online
1,cð“ñ–mo hacer citas por internet.,la agilidad para sacar citas.,42,726,cð “ñ – mo make appointments online.,the agility to make appointments.
1,no esta disponible el link para agendar citas por internet,mas accesible la opciгіn para agendar citas por internet,42,723,The link to schedule appointments online is not available,more accessible the option to schedule appointments online
1,"que pasa cuando no se puede acreditar la procedencia legal de un animal, si fue un regalo?",realizando un apartado sobre dudas donde exita alguien que las pudiera resolver.,42,567,"What happens when you cannot prove the legal origin of an animal, if it was a gift?",Carrying out a section on doubts where someone who could solve them exists.
